title,year,movie_id,title_new,country,cast_IDs,cast_names,genres,rating,year_new,type
OB & GY,2010,3364882,Sanbuingwa,kr,"1511876,2139082,4661028,1037141,2040088,3015649,3609366,3011686,3757273,1617772,3667900,3514756,0945994","Seo-hee Jang,Joo-Won Ko,Sun-young Ahn,Lee Gi-yeong,Jeong Ho-bin,Cha Hyeon-jeong,Song Joong-ki,Hyun-ah Kim,Seung-hyeong Lee,Young-eun Lee,Ji-Young Min,Ga Won,Hee-kyung Yang","Drama,Romance",7.0,2010.0,tv series
Oh Feel Young,2014,,,,,,,,,
Oh My Baby,2020,12324660,Oh My Baby,kr,"1339153,8471387,3649689,10160330,3797278,3779956,12490014,12058317,3787951,1559465,2182458","Jang Na-ra,Joon Go,Byeong-eun Park,Geon-joo Jung,Jae-hwa Kim,Seung-hee Baek,Seo Suk-Kyu,Ki Eun-Yoo,Jeon Jin-ki,Hie-bong Jo,Seung-mok Yoo","Drama,Romance",7.3,2020.0,tv series
Oh My Ghost,2015,4799574,Oh My Ghost,kr,"3291520,4983186,3368932,5682738,3223787,7553002,7553003,7412707,7244031,1139514,1632793,0793781,7553004,6940207,3295014,1342813,7553005,4727057,5371234,7453498,3026403,3498542,1732519,7453497,7901827,4505386,5364609","Park Bo-Young,Jo Jung-Suk,Ju-hwan Lim,Seul-gi Kim,Min-cheol Choi,Oh Eui-Sik,Lee Jeong-eun,Kang Ki-Young,Si-Yang Kwak,Dae-yeon Lee,Jung-ah Park,Eun-Kyung Shin,Hye-Sun Shin,Hak-joo Lee,Sung-bum Kim,Joo-sil Lee,Ryoo Hyoun Kyoung,Woong Choi,Dean Dawson,Angelina Foss,Eun-ae Goo,Jo Han-chul,Lee Hana,Dario Lee Konieczny,Hang-ho Tae,Amy Woo,Seo In-Guk","Comedy,Drama,Fantasy,Romance",8.0,2015.0,tv series
Oh My Ladylord,2021,13715346,Oh My Ladylord,kr,"2523105,6847945,6003243,9368455,1466288,0453467,1903390","Lee Min-ki,Jin-Ah Im,Kang Min Hyuk,Woo Jin Kim,Seonwoo Jae-Deok,Ho-jung Kim,Hwi-Hyang Lee","Comedy,Romance",6.1,2021.0,tv series
Oh My Venus,2015–16,5189944,Oh My Venus,kr,"1234414,1086555,5247993,1770593,5376582,7052088,0423259,3692524,3782167,10599420","So Ji-seob,Shin Min-a,Sung Hoon,Yoo In-young,Henry Lau,Daniel Joey Albright,Eun-ji Jo,Gyu-Woon Jung,Jin Kyung,Nair Sachin","Comedy,Drama,Romance",7.8,2015.0,tv series
Oh! My Lady,2010,2324713,Oh! My Lady,kr,"4227515,3210659,4227335,1160179,2184859,1727569","Hyoyeon,Sooyoung Choi,Jessica Jung,Rim Chae,Si Won Choi,Hyun-Woo Lee",Drama,6.9,2010.0,tv series
"Oh, the Mysterious",2017–18,7608220,"Oh, the Mysterious",kr,"7045018,7116113,3641180,5374713,3754140,1926499,1066913,9402668,1486994,8713326,8119746,7052088,9063815,9402669","Hye-Seong Jung,Yoon Kyun-Sang,Kim Hee-won,Shin-Hyo Kang,Choi Wonyoung,Jeon Gook-hwan,Yu-seon Yun,Seung-Hoon Oh,Hyun-Sung Jang,Sung-woo Jeon,Da-Ye Kim,Daniel Joey Albright,Jason Nelson,Na-Moo Yoon","Comedy,Drama",6.4,2017.0,tv series
Ohlala Couple,2012,3310748,Oohlala Couple,kr,"5033306,4702698,0359188,1155573,0793790","Narsha,Chae-Ah Han,Jae-Suk Han,Jeong-eun Kim,Hyeon-jun Shin",Drama,6.7,2012.0,tv series
Ojakgyo Family,2011–12,3211152,Ojakgyo Brothers,kr,"3743319,4276462,1059346,0158762,1081518,1095054,0432429,3756197,1141765,1081716,5110174","Kim You-Jin,Joo Won,Soo-young Ryu,Jeong-yun Choi,Jeong Woong-in,Il-seob Baek,Mi-seon Jeon,Seok-won Jeong,Ja-ok Kim,Yeong-ha Lee,Woo-jin Yeon","Comedy,Drama,Romance",8.3,2011.0,tv series
On Air,2008,1295042,On Air,gr,"1154354,0049442,1133025,0901427,1281478,1978178,1742152,2936459,2746269,2167844,0435919,2663787,3271642,2310432,1122250,3271990,3327152,2898634,0015806,2903575,1077182,2798806,1476598,2612793,0539605,1031854,0636739,0874766,2626248,2954557,1670627,1867360,3445041,2977462,3446267,2798061,3447614,2818742,3410401,0657403,0263758,1328744,3197114,2663422,3216960,2605627,2760673,1482300,1425713,1407041","Maria Lekaki,Katiana Balanika,Christos Plainis,Vicky Volioti,Hristos Tripodis,Penelope Anastasopoulou,Thanasis Kourlabas,Solon Tsounis,Konstadinos Danikas,Petroula Christou,Dimitris Kallivokas,Yannis Aivazis,Stavros Goutos,Mary Petroutsa,Vassilis Eftaxopoulos,Stavroula Arampatzoglou,Athina Marantidi,Panos Vlahos,Socrates Alafouzos,Yorgos Zois,Giorgos Lefas,Andromahi Markopoulou,Nikos Ioannidis,Georgia Baka,Ersi Malikenzou,Efi Papatheodorou,Tasos Nousias,Katerina Tsavalou,Anna Iris,Spyros Katiforis,Vasilis Politis,Maria Katsoulidi,Andreas Georgis,Katerina Holi,Hristina Founta,Kelly Kaimaki,Eleni Zabra,Alexis Grammatikos,Nikos Karitzias,Tasos Palatzidis,Joyce Evidi,Giorgos Liagas,Giannis Sarakatsanis,Eva Laskari,Stelios Kritikos,Angeliki Daliani,Georgia Agoncilio,Zoya Sevastianou,Vasilis Palaiologos,Makis Kostinis","Comedy,Romance",5.8,2008.0,tv series
