title,year,movie_id,title_new,country,cast_IDs,cast_names,genres,rating,year_new,type
100 Days My Prince,2018,8199972,100 Days My Prince,kr,"6765553,2305471,1443295,3498542,9170918,7890339,4220584,9350760,2288497,6019545,3606690,10108058,0025548,0497352,10108072,4727057,9274917,9513237,9256063,4782737,12523470,8446544,10081015","Kyung-soo Do,Nam Ji-Hyun,Jo Sung-ha,Jo Han-chul,Kim Seon-Ho,Hae-Kyun Jung,Min-ji Lee,Han So-hee,Jeong-min Heo,Jae-young Kim,Lee Joon-hyuk,Yeon-ah Oh,Ahn Suk-hwan,Hye Eun Lee,Min-Hyuk Ji,Woong Choi,Gi-doo Kim,Eun-Jung Heo,Ji-Hoon Jung,Ji-han Do,Kang Young-Seok,Han Ji-Eun,Tae Won-suk","Action,Comedy,History,Romance",7.7,2018.0,tv series
12 Years Promise,2014,5476252,12 Years Promise,kr,"10213650,1452474,1224530,0046276,6857341,3753372,1141657,3628470,1045682,3852933,3049976,0420082,1357269,1937349,1408933,0497362,4743210,5900682,1999459,7270574","Im Ji-Hyun,So-yeon Lee,Min Namkoong,Chong-ok Bae,Ro-Woon Choi,Won-hong Choi,Ho-jin Chun,Shin Dong-mi,Jeong Gyu-Su,Park Hae-mi,Eom Hyo-Seob,Su-Won Ji,Chan Jung,Shi-hoo Kim,Yeong-ran Kim,Han-wi Lee,Tae-im Lee,Won-geun Lee,Seung-yoon Oh,Woo Rim Seo","Comedy,Drama,Romance",7.4,2014.0,tv series
18 Again,2020,12846096,18 Again,kr,"6327190,2341244,9946376,7591921,11794543,6916576,3011544,11972843,11972842,9665672,6617679,5516142,11972839,11683516,11947727,5901828,8241451,11972950,11434086,0453605,1305598,0014215,2293535,11972841,11972951,11972840,12057710,11973635,2892548,11989089,12057771,2442175,6771509,2954105,8471274,7890339,8953986,9468152,11854308,1060442,12058317,12058188,8471266,2288497,5993464,10984169,7967853,6583532,12057711,3030681","Ha-neul Kim,Yoon Sang-Hyun,Lee Do-Hyun,No Jeong-ee,Ryeoun,Kang-hyeon Kim,Mi-do Lee,Choi Bo-Min,Hwang In-Yeop,Wi Ha-Joon,Kim Yoon-hye,Yoo-Ri Kim,Oh So-Hyun,Yang Dae-Hyeok,So-Eun Han,Jang Hyuk-jin,Eun Min Ko,Ryu Da-Bin,Lee Eun Jae,Kim Mi-Kyung,Ki-woo Lee,Ahn Nae-sang,Byung-Joon Lee,Oh Ja-Hun,Kim Joong-Ki,Lee Nam-Gyeong,Yoon Byul-Ha,Kim Sun-Min,Jae-Hwan Choi,Yoon Jung-Hoon,Lee Cheon-Mu,Yeo-woon Han,Kim Hye-hwa,Ji Kyu Im,Ryun Jo,Hae-Kyun Jung,Kang-Hoon Kim,Yoo-Hyun Song,Seo Yi-Soo,Lee Eol,Ki Eun-Yoo,Seo Ha-Yoon,Jae-Ho Heo,Jeong-min Heo,Kwak Ja-hyoung,Sung-kyu Jang,Moon Ji-In,Hyun-Moo Jun,Yoo Jun-Hoo,Dong-Hyun Kim","Comedy,Fantasy,Romance",8.2,2020.0,tv series
365: Repeat the Year,2020,12015466,365: Repeat the Year,kr,"3789806,2305471,1790874,11794543,12016813,10529132,3075771,10224072,12330404,4365014,9368455,6044719,7254989,5874950,1020006","Lee Joon-hyuk,Nam Ji-Hyun,Kim Ji-Soo,Ryeoun,Lee Tae-Vin,Ha-Kyung Kim,Soo-Jang Baek,Lee Ho-Cheol,Kim Kyeong-min,Kim Bi-bi,Woo Jin Kim,Min-sung Jung,Lee Shi-Ah,Jun Suk-ho,Dong-kun Yang","Crime,Drama,Fantasy,Mystery,Thriller",8.1,2020.0,tv series
4 Legendary Witches,2014–15,4449190,The Legendary Witch,kr,"1623740,5754288,1085809,5204923,2291768,2188884,7123486,4275960,1090119,2726270,1067170,3482745,0661886,0661845","Ji-hye Han,Yeon-Soo Ha,Du-shim Ko,Hyun-Kyung Oh,Ha Seok-jin,Jeong-su Byeon,Sang-woo Do,In-hwa Jeon,Hye-seon Jeong,Young-Sun Kim,Jong-Won Lee,Seung-Joon Lee,Geun-hyeong Park,In-hwan Park","Drama,Romance",7.6,2014.0,tv series
49 Days,2011,1935066,49 Days,kr,"1030827,3512139,1450227,3015991,3664406,1981533,5433623,3853513,1092385,0814171,3746849,6116822","Yo-won Lee,Gyu-ri Nam,Hyeon-jae Jo,Il-Woo Jung,Soo-bin Bae,Seo Ji-hye,Geu-rin Bae,Jung-woo Choi,Seong-min Kang,Byung-ho Son,Bong-gil Yoon,Ho-Chang Kim","Drama,Fantasy,Romance",8.0,2011.0,tv series
7 First Kisses,2016–17,6353134,Seven First Kisses,kr,"3738640,1763620,7254991,3865611,0158830,4062328,8277258,3316279,4641488","Park Hae-Jin,Lee Joon-Gi,Cho-hee Lee,Ji Chang-Wook,Choi Ji-woo,Lee Jong-Suk,Kai,Lee Min-Ho,Taecyeon","Short,Comedy,Fantasy,Romance",6.2,2016.0,tv mini series
7th Grade Civil Servant,2013,3061226,7th Grade Civil Servant,kr,"4276462,0497352,0158763,4855119,5832827,4579997,0230714,5077687,5832829,2263791,4733786,0497362,0453605,0014215,5832826,1137050,1865097,1593423,1559446,6617677,4643037,5832834,5832832,5360048","Joo Won,Hye Eun Lee,Kang-hee Choi,Hwang Chan-sung,Seung Yoon Byun,Jong-hwan Choi,Young Jae Dok-Go,Lee El,Yoon Ho Im,Claudia Kim,Min-seo Kim,Han-wi Lee,Kim Mi-Kyung,Ahn Nae-sang,Jin Young Son,Im Ye-jin,Jang Young-Nam,Tae-woong Eom,In-gi Jeong,Choe Min,Young Hak No,Ji Seung Seo,Seung Man Seo,Tae Woong Uhm","Action,Romance",5.9,2013.0,tv series
"90 Days, Time to Love",2006–07,977891,90 Days of Love,kr,"3846506,1474184,1113667,1936372,2196022,6327190,2579464,2518549,2441342","Jang-wu Lee,Miles Meili,Seong-ho Choi,Hye-Young Jung,Ji-Hwan Kang,Ha-neul Kim,Hyeong-beom Kim,Hee-seok Yun,Hyeon-suk Yun","Drama,Romance",7.5,2006.0,tv mini series
A Beautiful Mind,2016,5244184,A Beautiful Mind,,"7096462,4795328,6520822,4943150,7552517,7625740,3793325,0242595,6062893,7766288,7706739,2114091,7775854,6223542,6555308,7360223,2426674,7499127,7782664,6018656,5424541,2490267","Denise Antoine,Chris Chirdon,Lauren Collier,Linda Collins,Michael Connell,Mateo d'Amato,Christine Donnelly,Ian Campbell Dunn,Laura Frenzer,Katelyn Hicks,Charles Stuart Kennedy,Suzanne Kimball,Suzanne Kimball,Nikki Lowe,Pat McCarthy,Jakob Minevich,Ryan Redebaugh,Syd Richardson,Jenna Ross,Bartek Szymanski,Shelley Valfer,Terrell Wheeler",Crime,,2016.0,episode
A Bird That Doesn't Sing,2015,5617526,Bird That Doesn't Cry,kr,"6112821,3779956,8044878,3759348,3673262,3929265,5900674,8057443,3628115,0453747,8057444,5204923,8057448,8057450,8057446,5710258,8057449,8057445,8057447,5899942","Jae-min Ahn,Seung-hee Baek,Seung-Hoon Baek,Sang-hun Choi,Su-rin Choi,Ah-reum Hong,Hee-soo Jang,Kang Ji-Sub,Min Ha Ju,Yu-seok Kim,Kyung-Sim Lee,Hyun-Kyung Oh,Seung-Yeol Cha,Seung-Yeon Cha,Ga-rim Han,Seo-jin Han,Jeong-kyu Heo,Do-yoon Jang,Kye-sun Kim,Hye-jin Park","Drama,Romance",,2015.0,tv series
A Daughter Just Like You,2015,4950552,A Daughter Just Like You,kr,"10213585,10213588,3852933,1865805,10213583,10213589,5602945,7045018,6347114,10213581,3015396,10213584,10213591,10213590,10213592,10213593,10213594,7052088","Jung Bo-Suk,Lee Byung-Joon,Park Hae-mi,Woo Hee-Jin,Kim Hye-Ok,Lee Ji-Hoon,Woo-Ri Jo,Hye-Seong Jung,Woo-Sik Jung,Kang Kyeong-Jun,Soo-kyung Lee,Kil Yong-Woo,Yeona Ko,Jun Won-Joo,Yoon Jong-Hoon,Won-Joon Kim,Kang Tae-Sung,Daniel Joey Albright",Drama,7.3,2015.0,tv series
A Gentleman's Dignity,2012,2362760,A Gentleman's Dignity,kr,"0417520,6327190,1069518,1085779,5311765,1508045,1938960,0155184,5325806,5190368,6590921,3210659,4406948,3294000,10077115,5948035","Jang Dong-Gun,Ha-neul Kim,Soo-Ro Kim,Min-jong Kim,Woo-bin Kim,Jong-Hyuk Lee,Yun Se-ah,Kim Jung-nan,Yoon Jin Yi,Jong-Hyun Lee,Jae-Sik Min,Sooyoung Choi,Sa Hee,Jo Jae-yoon,Eui-soo Jang,Hye Jung Shin","Comedy,Drama,Romance",8.0,2012.0,tv series
A Girl Who Sees Smells,2015,4583316,The Girl Who Sees Smells,kr,"3411574,1651494,1517134,1224530,1165906,1559465,5032208,4258553,1559446,4468489,1366028,3755484,7978644,2892548,6728660,7978646,7978648,7978647,7978649,7978650,1391036,3821613","Yu Chun Park,Shin Se-Kyung,Jin-Seo Yoon,Min Namkoong,Won-jong Lee,Hie-bong Jo,Choi Tae-Joon,Kim So-Hyun,In-gi Jeong,Park Jin-Joo,Kim Byeong-Ok,Jong-ho Song,Chan-woo Jung,Jae-Hwan Choi,Cho-hee Oh,Chang-hee Nam,Jae-Soon Park,Joon-ho Min,Heun-hui Bang,Myeong-jim Kim,Han-byeol Park,Julian Quintart","Comedy,Drama,Fantasy,Romance",7.1,2015.0,tv series
A Happy Woman,2007,5621162,A Happy Woman,kr,"1925269,1574579,3628470,8060735,2262719,2086949,1232865,4627326,8057443,1085697,8060736,1251889,8060733,3664323,1369518,8060731,1169845,1085809,7238560,2558891,4428495,1773400,3751026,3663864,3981062","Ji-na Choi,Park Soon Chun,Shin Dong-mi,Sung-Chul Ha,Mi-ne Jang,Yong Jang,Jae-sun Jeong,Kyeo-woon Jeong,Kang Ji-Sub,Hyeon Ju,Young-sub Jung,Bu-ja Kang,Dae-Sung Kim,Jae-man Kim,Seok-hun Kim,Yoon-Jung Kim,Yun-kyeong Kim,Du-shim Ko,Ji-wan Lee,Mi-young Lee,Sa Mi-Ja,Jung-hee Moon,Sa-rang Park,Park Sung-woong,Jung-hee Yoon","Drama,Romance",,2007.0,tv series
A Hundred Year Legacy,2013,5679588,Hundred Year Inheritance,kr,"1951983,1050125,3754140,6076224,4275960,1065604,1090119,0793782,1030525,1158620,3343883,4533724,3514551,1252068,3789072,1106071,1031876,3005270,2341409","Yoo-jin Kim,Lee Jung-Jin,Choi Wonyoung,Ah Jung Yoon,In-hwa Jeon,Bo-seok Jeong,Hye-seon Jeong,Goo Shin,Kim Myeong Su,Hwa-yeon Cha,Kim Hee-Jung,Sun-Hee Hwang,Park Joon-geum,Oh-jung Kwon,Myung-Ryul Nam,Won-suk Park,Yeong-gyu Park,Woo-seon Seon,Yi-yeong Shim","Drama,Romance",7.8,2013.0,tv series
A Korean Odyssey,2017–18,7099334,A Korean Odyssey,kr,"3876951,0149226,4696551,4323671,5357038,5077687,3701137,3783238,1564219,0839293,3815800,3755484,9378473,1157043,1790874,5493512,7052088,10108058,1868836,1658941","Lee Seung-gi,Seung-Won Cha,Yeon-Seo Oh,Hong-ki Lee,Jang Gwang,Lee El,Kim Sung-oh,Sung Hyuk,Se-yeong Lee,Ji-ru Sung,Bo-ra Yoon,Jong-ho Song,Jung Je-Won,Michael K. Lee,Kim Ji-Soo,So Won Kal,Daniel Joey Albright,Yeon-ah Oh,Seul-gi Park,Keun-Suk Jang","Comedy,Fantasy,Horror,Romance",8.1,2017.0,tv series
A Little Love Never Hurts,2013–14,5770118,Give Love Away,kr,"8605877,1158620,3853513,3673262,0359158,1045584,2920466,1087162,1195120,1111680,4469142,5708841,0661886,3096062,1508309,1917619,4291691,7094545,1162053,1066906","Go Eun-i,Hwa-yeon Cha,Jung-woo Choi,Su-rin Choi,Go Eun Han,Soo-Hyun Hong,Yeon Woo Jo,Seok-woo Kang,Na-woon Kim,Seung-su Kim,Bo-ra Nam,Na-ra Oh,Geun-hyeong Park,Lee Sang-Yeob,Dong-won Seo,Ji-Seok Seo,Da-eun Sin,Bak Yoon,Ho-jeong Yu,Ji-in Yu","Drama,Romance",8.0,2013.0,tv series
A Love So Beautiful,2020–21,13642264,A Love So Beautiful,kr,"9990690,12158760,8057785,11179359,12158761,10117244,12149696,12733939,12733940,12733941,8471274,5479345,12158763,12058317","Joo-yeon So,Kim Yo-han,Hoi-Hyeon Yeo,Hye-Jo Cho,Jung Jin-Hwan,Ji-Won Park,Kim Dong-Kyu,Bo-Min Choi,Ji-Yeon Yoo,Hwa-Sub Ji,Ryun Jo,Yoon Seo Hyun,Yang Yoo-Jin,Ki Eun-Yoo","Comedy,Romance",7.4,2020.0,tv series
A Love to Kill,2005,499280,A Love to Kill,kr,"1713653,1086555,1385770,1305598,3740742,3771214,1585632,9264946,1279940,6483049,0661845,3586587,9264947,9264945","Rain,Shin Min-a,Sa-rang Kim,Ki-woo Lee,Nah Yoon,Sang-ryeol Ji,Rae-yeon Kang,Song Hee Kim,Yeong-jae Kim,Min Hyuk Lee,In-hwan Park,Hye-ri Yoo,Jae Geun Yoo,Min Soo Joo","Drama,Romance",7.5,2005.0,tv series
A Man Called God,2010,2060590,A Man Called God,kr,"1866022,1117699,2437361,0359158,1085779,4704907,4705866,1770593,1671140,4704908,1085675,1120337,1695001","Il-guk Song,Chae-Young Han,Cho Jin-woong,Go Eun Han,Min-jong Kim,Nam Da-reum,Jung Hoon Lee,Yoo In-young,Ja-Hyeon Chu,Shin Bum Do,Han-Yong Jeong,Yong-geon Kim,Shin Seung-hwan",Romance,6.2,2010.0,tv series
A New Leaf,2014,3715110,A New Leaf,kr,"1047988,2241337,1333445,3628633,4661028,1135644,2442113,4946490,1012117,6483049,6479168","Myung-Min Kim,Park Min-Young,Jeong-an Chae,Jin Yi-Han,Sun-young Ahn,Il-hwa Choi,Oh Jeong-Se,Lee Joo-yeon,Sang-Jung Kim,Min Hyuk Lee,Jin Lee-Han","Drama,Romance",6.3,2014.0,tv series
A Piece of Your Mind,2020,11505790,A Piece of Your Mind,kr,"6857187,6914447,1732519,9541537,11443777,3482745,11443776,4704907,9721970,3035447","Jung Hae-In,Chae Soo-bin,Lee Hana,Kim Sungkyu,Kim Jeong-Woo,Seung-Joon Lee,Park Joo-Hyun,Nam Da-reum,Soo-jin Kim,Jin-yeong Park","Comedy,Romance",7.5,2020.0,tv series
A Place in the Sun,2019,10350606,A Place in the Sun,kr,"3845186,1587774,10067177,3776167,3853513,6718694,1085675,8728058,1195120,3768156,6262416,5092406,1168569","Chang-Suk Oh,So-yi Yoon,Sung-jae Choi,Si-eun Ha,Jung-woo Choi,Bum-sik Hwang,Han-Yong Jeong,Joo-ri Kim,Na-woon Kim,Deok-hee Lee,Nuel,Sung Yoon Son,Yoo Tae-woong",Drama,6.9,2019.0,tv series
A Pledge to God,2018–19,9257510,A Pledge to God,kr,"1117699,3664406,1954290,1950558,1903390,3343883,10249236,1251889,10056557,3289773,8006111","Chae-Young Han,Soo-bin Bae,Yun-a Oh,Cheon-hee Lee,Hwi-Hyang Lee,Kim Hee-Jung,Byung Hun,Bu-ja Kang,Ki-Won Nam,Seok-Hyeon Wang,Choo Ye-jin",Drama,5.1,2018.0,tv series
A Poem a Day,2018,8078744,A Poem a Day,kr,"5447592,3789806,8589353,5787710,3246679,9665582,6811861,7212056,6969263,9332185,9665581,9657240","Lee Yoo-Bi,Lee Joon-hyuk,Dong-Yoon Jang,Hyun-chul Seo,Chae-yeong Lee,Jae-Bum Kim,Sin Jae-ha,Defconn,Park Seon-ho,Hye-Won Jeon,Han-Sol Park,Tang Joon-sang","Comedy,Drama",7.4,2018.0,tv series
A Tale of Two Sisters,2013,8421778,A Tale of Two Sisters,kr,"1037141,5700047,0793536,0161149,8039038,3736776,1136736,4925888,0498225,0510546,1082016,5247820,1426406,2489485,6034288","Lee Gi-yeong,Yeon-joo Ha,Shim Hye-jin,Moo-Song Jeon,Hye-sun Jung,Park Jae Jung,Yong-woo Kil,Hae-In Lee,Se-chang Lee,Ji-Eun Lim,Seung-eun Oh,Park Se-young,Geum-seok Yang,Geon Yu,Kim Chae Yun",Drama,,2013.0,tv series
A Thousand Days' Promise,2011,2262521,A Thousand Days' Promise,kr,"1595196,0453640,1390122,2573394,4920546,1045939","Soo Ae,Rae-won Kim,Kim Hae-sook,Yu-mi Jeong,Lee Sang-woo,Mi-sook Lee","Drama,Romance",8.3,2011.0,tv series
A Thousand Kisses,2011–12,5619630,A Thousand Kisses,kr,"1419430,1158620,1232865,2412682,7731076,1069512,8059693,2558891,1058814,1615673,1320089,4403477,1655340,2664367,2898565,0453385,2305471,3675846,5262151,8051720","Hyo-jeong Ban,Hwa-yeon Cha,Jae-sun Jeong,Hyun-Woo Ji,Ka-Eun Jung,Chang-suk Kim,Ja-Young Lee,Mi-young Lee,Soon-jae Lee,Jin Ryu,Yeong-hie Seo,Goo Seung-Hyeon,Hyung Tak Shim,Kim So-eun,Soo-Yeon Cha,Kim Chang-wan,Nam Ji-Hyun,Hwa-seon Lee,Doo-Joon Yoon,Choi Young-Shin","Drama,Romance",7.6,2011.0,tv series
A Witch's Love,2014,3718908,A Witch's Love,kr,"1105090,6124994,0359188,4933181,0051906,2810190,1035593,0498225,1960271,0945994,6973278,5033306","Uhm Junghwa,Seo Jun Park,Jae-Suk Han,Yeon-joo Jung,Eun-hee Bang,Jin-mo Joo,Seong-jin Kang,Se-chang Lee,Mi-ran Ra,Hee-kyung Yang,Hyun-min Yoon,Narsha","Comedy,Romance",7.4,2014.0,tv series
A-Teen,2018,9861132,A-TEEN,kr,"12269208,10442994,10890648,10229409,10201315,10760959,4307583,12418067,11668342,10749525,10749526,12135811","Ahn Jung-Hoon,Ye-Eun Shin,Na-Eun Lee,Soo-Hyun Kim,Kim Dong-Hee,Seung-Ho Shin,Ryu Eui-Hyun,Daekyum Ahn,Yeon Je Hyung,Jaemin,Jeno,Lee Chan-Hyeong","Comedy,Drama,Romance",7.7,2018.0,tv series
A-Teen 2,2019,10474124,Moment at Eighteen,kr,"9186885,3676100,10760959,7412707,10164686,8258019,6728658,2341409,7996229,9371494,10056771,6707768,5872538,11750451,10914710","Seong-wu Ong,Hyang-gi Kim,Seung-Ho Shin,Kang Ki-Young,Kim Do-Wan,Moon-Bin,Kim Sun-young,Yi-yeong Shim,Park Sung-Geun,In-soo Yoo,Jung Young-joo,Young-ji Heo,Choi Dae-hoon,Baek Jae-Woo,Geon-Hee Song","Drama,Romance",7.6,2019.0,tv series
About Time,2018,8083832,About Time,kr,"8447132,7220152,1390122,5292635,3718915,5250251,7826600,1055621,4172473,4702575,5877764,3628205,4471345,10222854","Kim Ro Woon,Lee Song-Kyoung,Kim Hae-sook,Kang Ki-Doong,Sang-yoon Lee,Dong-jun Kim,In-ho Tae,Jung Dong-hwan,Seung-Yeon Han,Na Young-hee,Im She-mi,Min Sung-wuk,Ethan Yu,Kim Sa Hee",Fantasy,7.0,2018.0,tv series
Abyss,2019,12021980,Abyss,de,"7295585,11977909,11977910,0499889,11010684,3348365,5002169,11242053","Kira Albrecht,Fleur Grelet,Stella Homann,Ottokar Lehrner,Timo Maar,Agnes Mai,Loretta Müller,Sophie Selek",Short,,2019.0,movie
Ad Genius Lee Tae-baek,2013,15506152,"Ad Genius Lee Tae-baek Special: Han Chae-young, Jin Goo, Park Ha-sun, Jo Hyun-jae, Han Sunhwa (Secret)",,,,"Comedy,Talk-Show",,2013.0,episode
Age of Innocence,2002,300913,Forbidden Rage: White Slave Secrets,,,,,,,
Air City,2007,1672137,Air City,kr,"0158830,2353702,0497631,0570598,2086949,1040587,1773400,1955957,3673936,3967553,1194109,3751716,3212895,3967637,3975931","Choi Ji-woo,Lee Jin-Wook,Lee Jung-jae,David Lee McInnis,Yong Jang,Hae-hyo Kwon,Jung-hee Moon,Hyo-ju Park,Tam-hee Park,Jong Hwa Yoon,Ran Choi,Lee Da-hee,Sang-uk Joo,Shin Ae Shin,Joo Sang Yoon","Action,Drama,Romance",6.9,2007.0,tv series
Alice,2020,,,,,,,,,
All About Eve,2000,313028,All About Eve,kr,"0417520,1160179,1626034,0359188,1048201,1155573","Jang Dong-Gun,Rim Chae,Mi-ri Gyeon,Jae-Suk Han,Kim So-yeon,Jeong-eun Kim","Drama,Romance",7.8,2000.0,tv series
All About My Mom,2015–16,5321300,All About My Mom,kr,"1974957,6407698,8044330,6008762,0453448,1951983,1085809,2233929,1255014,3665593,3460487,3755484,5032208,1087637","So-young Kim,Mina Kwon,Joon-hee Song,Jo Bo-ah,Kim Kap-su,Yoo-jin Kim,Du-shim Ko,Sang-woo Lee,Kim Mi-Sook,Min-Seok Oh,Yeo-Eun Son,Jong-ho Song,Choi Tae-Joon,Kim Young-ok",Drama,8.0,2015.0,tv series
All About My Romance,2013,3392010,All About My Romance,kr,"0793784,2601709,1775551,4702698,1045837,0155184,1141657,5357038,1530178","Shin Ha-kyun,Lee Min-Jung,Hee-soon Park,Chae-Ah Han,Hyeong-jin Kong,Kim Jung-nan,Ho-jin Chun,Jang Gwang,Tae-Hyun Jin","Comedy,Romance",7.7,2013.0,tv series
All In,2003,431504,All In,kr,"1046845,0496932,1292880,3093524,1324774,1058833,1194109,3245226,1065825,1075323,1918588,1617711,2309978,3181865,0661930,4579997,1687279,12429910,1523195,1029669,2040088,0401135,1903020,1058617,1045778,0453704,8790665,1141909,1515827,1106071,1100244,1560675,1981533","Song Hye-Kyo,Lee Byung-hun,Seong Ji,Jeong-won Choi,Jerry G. Angelo,Hyeon-shik Lim,Ran Choi,Chris Trouble Delfosse,Lee Deok-hwa,Cesar Garcia,Jin Goo,Han Ji-min,Hee-do Lee,Frank Powers,Park Sang-Myeon,Jong-hwan Choi,Jun-yong Choi,Brad Curtin,Yûko Fueki,Ju-bong Gi,Jeong Ho-bin,Joon-ho Huh,Yu-seok Jeong,Kyeong-hwan Jo,Byeong-se Kim,Tae Yeon Kim,Tae-Yun Kim,Gye-in Lee,Sol-mi Park,Won-suk Park,Chae-hwan Song,Eun-Sook Sunwoo,Seo Ji-hye","Action,Drama,Romance",7.8,2003.0,tv series
All My Love For You,2010–11,1926152,My Love for You Has Disappeared,us,"5799337,0001761","Peter A Kelly,Jerry Springer",Talk-Show,,2010.0,episode
Alone in Love,2006,843239,Alone in Love,kr,"3759049,3789249,1165487,3790029,3789227,1162030,2353702,1120328,1029669,1732519,0453448,1045837,1773400,1954290,0997982","Jae-suk Ha,Yeong-mi Jeon,Woo-seong Kam,Hyeon-seob Shim,Yoo-jin So,Son Ye-jin,Lee Jin-Wook,Kang Shin-il,Ju-bong Gi,Lee Hana,Kim Kap-su,Hyeong-jin Kong,Jung-hee Moon,Yun-a Oh,Tae-hwa Seo","Drama,Romance",8.7,2006.0,tv series
Amanza,2020,12994186,Amanza,kr,"6887673,10197686,11330004,5204923,2182458","Ji Soo,Seol Lee,Lee Jong-Won,Hyun-Kyung Oh,Seung-mok Yoo","Drama,Fantasy",8.3,2020.0,tv mini series
Amor Fati,2021,14386466,Amoreupati,kr,"1027703,3289356,6957966,8125095","Jae-mo Ahn,Seul-Ki Bae,Jung-Yoon Choi,Hyung-Joon Park","Drama,Romance",5.2,2021.0,tv series
Andante,2017–18,6415220,Andante,kr,"8277258,8754802,8754806,0432429,8754803,5694619,9853797,3729673,8754807,8754804","Kai,Ye-Hyun Lee,Jin-Kyung Kim,Mi-seon Jeon,Cheol-min Baek,Ji-hyun Song,Ahn Seung-Kyoon,Byoung-Sook Sung,Eun-Kyung Baek,Ki-soo Kim","Comedy,Drama,Romance",7.0,2017.0,tv series
Ang Shim Jung,2010–11,15360330,"Co-stars in Grudge: The Revolt of Gumiho: Han Eun-jung, Jang Hyun-sung, Kim Jung-nan, Yoon Jung-soo",,,,"Comedy,Talk-Show",,2010.0,episode
Angel Eyes,2014,3681890,Angel Eyes,kr,"0453452,2305471,1045685,3718915,9261849,3316287,3663948,2588698,1040587,3411281,7553004,7201679,7890339,1439043,1045837","Kang Ha-Neul,Nam Ji-Hyun,Jin-young Jung,Sang-yoon Lee,Hyung-jin Gong,Ku Hye-Sun,Jyu-ni Hyun,Ji-seok Kim,Hae-hyo Kwon,Seung-Hyun Lee,Hye-Sun Shin,Ye-Joo Yoon,Hae-Kyun Jung,Jung Ae-ri,Hyeong-jin Kong",Drama,7.5,2014.0,tv series
Angel's Last Mission: Love,2019,10160592,Angel's Last Mission: Love,kr,"7553004,4627341,1233195,4468750,1049968,1865805,1452588,6034291,1615589,2604920,1486994,12043829,9220277,12246122","Hye-Sun Shin,Myung-Soo Kim,Dong-geon Lee,Bo-mi Kim,Kim In-kwon,Woo Hee-Jin,Do Ji-Won,Gil Eun Hye,Seung-wook Kim,Hwa-ryong Lee,Hyun-Sung Jang,Kim Yi-Kyeong,Michelle Oh,Uhm Seo-Hyun","Comedy,Drama,Fantasy,Romance",7.8,2019.0,tv series
Angel's Revenge,2014,3541074,Angel's Revenge,kr,"1587774,1339676,6296790,3015817,0497352,1511798,1169822,1756343,2953322,3075582,0497252,1030823","So-yi Yoon,Jeong-cheol Park,Bo Ryung Moon,Kwon Yul,Hye Eun Lee,Jae-Won Choi,Yeong-suk Jeong,Chung Kim,Min-soo Kim,Dal-Hyeong Lee,Eung-Kyung Lee,Se-eun Lee","Drama,Romance",7.0,2014.0,tv series
Angry Mom,2015,4535826,Angry Mom,kr,"1040499,2498552,2412682,6887673,6111444,1031876,1954290,3641180,5070506,3702737,1963874,7834084,8027003,8027004,2588498,8027005,1659508,0661886,1507995,1926499,5601853,1048199,6844187,7201679,8027008,2167178,1139057,5348273,1092385,3674042,2285701,1386763,8027006,3718826,5555686,7299281,6563985,8027010,1864713,8027009,3727111,8027011","Kim Hee-seon,Kim Yoo-jeong,Hyun-Woo Ji,Ji Soo,Baro,Yeong-gyu Park,Yun-a Oh,Kim Hee-won,Soo-Ah Park,Kim Tae-hoon,Su-hee Go,Ye-Seul Choi,Se-yun Han,Seul-ki Kim,Ji-hie Seo,Nam-Yong Seo,Hyeong-jun Lim,Geun-hyeong Park,Byeong-chun Kim,Jeon Gook-hwan,Hye-jeong Sin,Jee-Young Kim,Yoo-sang Jang,Ye-Joo Yoon,Hee-Jung So,Ji-hee Suh,Mun-yeong Kang,Sam Kang,Seong-min Kang,Jong-goo Lee,Hee-Jin Park,Seon-woo Park,So-Yoon Yoon,Kyung Soon Jung,Ki-Cheon Kim,Kwang Kim,Young Chul Kim,Jae-hyoung Lee,Sang-Hun Lee,Chang-Hyeon Park,Deok-hyeon Won,Jae-jin Yang","Comedy,Drama",7.6,2015.0,tv series
Another Miss Oh,2016,5679572,Another Miss Oh,kr,"0600604,1059413,1050757,2588698,1614353,2288497,0453605,5668344,0497362,1786769,3776167,6707768,0497352,5328080,3242530,8575756,1642097,2536476,1355662,6134380,5110174","Eric Moon,Hyeon-jin Seo,Ji-won Ye,Ji-seok Kim,Hye-bin Jeon,Jeong-min Heo,Kim Mi-Kyung,Jae-yoon Lee,Han-wi Lee,Hyuk Choi,Si-eun Ha,Young-ji Heo,Hye Eun Lee,Nam Gi-Ae,Go Gyu-pil,Sun-Bin Lee,Yu-ri Lee,Oh Man-seok,Lee Pil-mo,Seo Ye-Ji,Woo-jin Yeon","Comedy,Fantasy,Romance",7.8,2016.0,tv series
